Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	N_Src_Pixels_C2	N_Sky_Pixels_C2	N_Src_Pixels_C3	N_Sky_Pixels_C3	N_Src_Pixels_C4	N_Sky_Pixels_C4	N_Src_Pixels_C5	N_Sky_Pixels_C5
aligned_coj1m003-fa19-20250503-0260-e91.fits.fz	1	139653.0625	60799.25045320019	2460799.2504532	NaN	NaN	0	1.1128897	NaN	NaN	19.999	NaN	NaN	26.416045534354605	25	50	85	13.161834916759734	0.9412284745261309	0.2131152307304852	0.1935296375450455	0.2155286923849636	0.0080627314917909	0.0011175027001632	0.0003455057911785	0.0003274935054216	0.0003501424139657	1632.4287780339027	842.2605819105794	616.8210090011523	590.9419098125701	615.5458001898871	3686904.036201147	2195.093154409866	2007.517001388441	2066.5257781721275	2008.017001388441	2029.9742218278725	20.75246507391711	-31.341485414098916	48526422.27841465	1963.4954084936207	6996.408452429221	6935.904701442324	139653.0625	24714.303923757972	126.2802744029624	14844.025288211773	26.66880652314454	21.776140095746534	21.978242873882216	21.57403731761085	8.434497134204745	0.9807896835218249	2344.829884521441	1775.3715898147527	2345.329884521441	2321.128410185247	20.755312127302258	-31.37295378146067	1787640.7168223453	1438.2898208875918	1242.89325479559	5279.87841796875	910.4379409747692	62.28649364916673	26.466298516406983	21.63838427212101	21.993026041827157	21.283742502414864	16.66531395928349	0.9615182963493706	2706.707203688824	1950.6208440597857	2707.207203688824	2145.8791559402143	20.758365511505477	-31.353987835980234	647700.5518124019	962.2040711116935	673.1426017186496	1953.451904296875	329.8711822857345	60.98173151191076	26.386753215458068	21.62255244642995	21.805742977229382	21.439361915630514	31.33894284765926	0.9637429911349644	2144.4025059205774	2543.6601167024965	2144.9025059205774	1552.8398832975035	20.753619652767902	-31.28990672497875	597827.803637129	935.8275881382705	638.8225899884443	1706.1409912109375	304.47120021318415	60.89597669537807	26.70415100641594	21.832077307546143	21.82779721332299	21.83635740176929	296.48571044200753	0.9993491265030116	2738.606778302795	1041.247357853866	2739.106778302795	3055.252642146134	20.75864081384553	-31.452288187888307	653734.9639292707	973.7280926848046	671.3732189103889	2073.303955078125	332.94448314030507	68.30234471867003	25.854218410347496	20.71950492257904	21.38119630659279	20.057813538565288	22.617112215423397	0.9131491644148835	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.495408493621	14844.025288211773	1963.4954084936207	14844.025288211773
aligned_coj1m003-fa19-20250503-0261-e91.fits.fz	2	140536.078125	60799.25098146405	2460799.250981464	NaN	NaN	0	1.1113625	NaN	NaN	20.001	NaN	NaN	17.75402805361635	25	50	85	13.195691211165054	0.9447253656017552	0.212554848987999	0.1936736080663472	0.2145744037766063	0.0080813292266392	0.0011215939349597	0.0003449692327567	0.0003275596655151	0.0003492510371568	1632.8614812111616	842.3060576158886	616.1559606039069	591.262076671695	614.3844425585734	3689061.633395355	2195.965355735931	2007.368345737222	2066.9767986123884	2007.868345737222	2029.5232013876116	20.752756526599075	-31.34344106124919	48679718.17324129	1963.4954084936207	7007.399275331572	6946.902304341419	140536.078125	24792.376881893506	126.5580102103081	14844.025288211773	26.47071742283425	21.666869425476456	21.898582644179513	21.4351562067734	0.4746288660457301	0.9788347311831825	2344.731495072905	1775.823256250802	2345.231495072905	2320.676743749198	20.75558681839728	-31.375021505202888	1792103.9967812768	1439.8436272418849	1244.65182390269	5552.8310546875	912.7110707919434	62.290439817406295	4.899391074251939	21.528379010073657	21.774873745175743	21.28188427497157	21.223839283123564	0.9694372692534944	2706.536944208243	1950.892984044752	2707.036944208243	2145.6070159552482	20.758640751204283	-31.356298039020523	646674.2012109436	962.0069252661455	672.2136652311906	2023.0147705078125	329.34846621671875	61.27274741269526	4.728279795831902	21.508781159955632	21.732218995969465	21.2853433239418	28.742764340954693	0.9620700582374659	2144.314687190087	2544.031379481697	2144.814687190087	1552.468620518303	20.7539285296395	-31.292042025181516	598550.4513886333	936.3833850936519	639.2151557972909	1775.498291015625	304.8392416908358	61.038973312909924	26.84721069561073	21.776513977971483	21.643473661367313	21.90955429457565	270.07297159499603	0.9878554585070851	2738.5258740028944	1041.7145506485172	2739.0258740028944	3054.785449351483	20.75887972012489	-31.454402348106726	651732.9840145016	973.0585822774993	669.7777460521269	2106.74072265625	331.9248831422052	68.61656374221396	25.82454127955292	20.63144261583786	21.31765542413824	19.945229807537476	21.24971507577965	0.9135931076291125	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.495408493621	14844.025288211773	1963.4954084936207	14844.025288211773
aligned_coj1m003-fa19-20250503-0262-e91.fits.fz	3	138596.296875	60799.25150885992	2460799.25150886	NaN	NaN	0	1.1098521	NaN	NaN	19.999	NaN	NaN	13.296124152137377	25	50	85	13.189538323516722	0.941994821335973	0.2124669082091893	0.1934283101408527	0.2159848699988322	0.0080802354050469	0.0011186062848989	0.0003449578166062	0.0003274929836312	0.0003506615606393	1632.321047884138	842.1147226266037	615.9214198985499	590.6334480700526	615.9354039406428	3689336.7101584245	2196.871056950658	2007.6013118728201	2066.742518705323	2008.1013118728201	2029.7574812946768	20.752465785404823	-31.341461984865656	48660647.92699164	1963.4954084936207	7006.16284574566	6945.406351286819	138596.296875	24782.66448523235	127.34222169918229	14844.025288211773	4.525460824938844	21.875815633850582	21.981156671018788	21.770474596682377	344.56789749058527	0.9888428060170489	2344.7897601237155	1775.582436700092	2345.2897601237155	2320.9175632999077	20.755311788015074	-31.372930990406868	1789570.2073721874	1439.5121067552827	1243.1782956004097	5280.0361328125	911.4206224424698	63.00077662722669	26.43184776189353	21.70654329978399	21.918546402212524	21.49454019735546	16.65539623870325	0.9768952826049591	2706.685068337935	1950.7960369658194	2707.185068337935	2145.7039630341806	20.758365323585004	-31.35396889946108	646501.7385981978	962.1251515519144	671.9518116280259	2032.8623046875	329.26063172930424	61.45264640149393	26.384013542411157	21.684340911538172	21.730549795430427	21.63813202764592	39.67650123218121	0.9771922852918509	2144.3774257098335	2543.780827352357	2144.8774257098335	1552.719172647643	20.753619441146174	-31.289893676470403	597959.8098375365	936.5955819971459	638.4397079500196	1696.6378173828125	304.5384304189878	61.483415205313094	4.480965277414311	22.07664636870883	22.01451540997471	22.13877732744295	299.3030891627807	0.9892525583746324	2738.6459005668153	1041.4553431945608	2739.1459005668153	3055.0446568054394	20.75864114294705	-31.452265701407395	655304.9543505025	975.2698313323866	671.9216911029054	2146.183837890625	333.74407269597214	68.94774055146434	4.658333354029051	20.742934582867218	21.34110620094539	20.144762964789045	22.871213017067845	0.9205702773396145	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773
aligned_coj1m003-fa19-20250503-0263-e91.fits.fz	4	143469.359375	60799.252034971025	2460799.252034971	NaN	NaN	0	1.1083593	NaN	NaN	20.001	NaN	NaN	13.297550902944085	25	50	85	13.190507334278193	0.9429693996180994	0.2134449476178738	0.1934381734453696	0.2146113450826426	0.0080811116956222	0.0011198461828621	0.0003459243946692	0.0003275181603785	0.0003494105972907	1632.2639546516818	842.0526086967385	617.0277404749479	590.6181605985333	614.2096053946249	3689274.5439153295	2196.9192249284633	2007.3369906570574	2066.2935086784355	2007.8369906570574	2030.2064913215645	20.75276577954808	-31.343495785573356	48663402.92968099	1963.4954084936207	7006.349325258805	6945.614708967345	143469.359375	24784.06759658032	127.27836597428836	14844.025288211773	4.57837001824611	21.74370334190121	21.911920551801355	21.575486132001064	3.5817277030683115	0.9845261861977563	2344.6301505392594	1775.1963826458516	2345.1301505392594	2321.3036173541486	20.755599228947734	-31.37506709738067	1790492.944657783	1439.755791480548	1243.608780914547	5479.65966796875	911.8905686830386	62.90132049253882	26.547709954782654	21.589240247615763	21.83738337012887	21.341097125102657	22.532282297535485	0.9679707974182612	2706.4597050238453	1950.3863181689876	2706.9597050238453	2146.1136818310124	20.758654513143085	-31.356289862474835	648943.3355174684	963.6082593326526	673.4514043776404	1988.2933349609375	330.50412682927174	61.639071923075534	4.8117143292717	21.53250523264214	21.61547838524482	21.44953208003946	38.80372513785757	0.9647118447266113	2144.1201601294	2543.3337402407183	2144.6201601294	1553.1662597592817	20.75393442533417	-31.292051140473948	597975.2826685897	936.6416793374134	638.4248062627338	1870.667236328125	304.54631066713415	61.51529222441244	4.6977963656051935	21.839992095554784	21.760228740963278	21.91975545014629	87.70959437851809	0.9926990030031937	2738.403834530743	1040.9984078772006	2738.903834530743	3055.5015921227996	20.758898656826812	-31.454484371668784	651862.9810714882	973.5085150281873	669.6017251093217	2187.759521484375	331.9910900996671	68.95203581878646	25.852163846814754	20.666434170347678	21.279551490989093	20.05331684970626	24.206940746483916	0.9143391686256405	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773
aligned_coj1m003-fa19-20250503-0264-e91.fits.fz	5	145229.328125	60799.25256093172	2460799.2525609317	NaN	NaN	0	1.1068898	NaN	NaN	19.999	NaN	NaN	17.55072192510163	25	50	85	13.18465624650808	0.9443052635404935	0.2119656416724409	0.1936659222493714	0.2153382007380765	0.0080685673515868	0.0011202114509482	0.00034412391966	0.0003273406066667	0.0003496875630797	1634.0764936311923	842.9705505520312	615.9573036419264	591.6342742242389	615.8017140832005	3694242.009258815	2197.3547022416656	2007.593343189875	2066.1593859174404	2008.093343189875	2030.3406140825596	20.752791016183675	-31.343547654549212	48707310.983486794	1963.4954084936207	7009.387491109461	6948.868363357851	145229.328125	24806.429784755484	126.68197258050975	14844.025288211773	26.496447347602533	21.59431256818554	21.759385020904883	21.429240115466197	1.9278592945594575	0.9847933082479813	2344.756567800489	1775.109630271541	2345.256567800489	2321.390369728459	20.755630943596472	-31.37509541249195	1794210.1168738895	1440.59477068189	1245.4648270204532	5605.9609375	913.7837089470936	62.31630828035435	4.472993240028122	21.446322871455898	21.74469304533285	21.147952697578948	19.432550033388946	0.9648871431593905	2706.6028228502023	1950.132147419085	2707.1028228502023	2146.367852580915	20.75868788276656	-31.35624932525425	646101.1360893582	961.7121651590853	671.8238153746147	2036.1331787109375	329.05660654691434	61.27546346305944	26.3006901651746	21.39237939756643	21.52738897278258	21.257369822350284	34.58503112572078	0.9651135653364346	2144.3953345654954	2543.22064941494	2144.8953345654954	1553.27935058506	20.753954837346935	-31.292011263370895	599371.0404224921	937.1054990495863	639.5982533774212	1855.6280517578125	305.25716425398986	61.27839767991551	4.713018957710277	21.705048719952202	21.65929903198169	21.750798407922712	273.32233068184075	0.9957648984244111	2738.724046096437	1040.900572005335	2739.224046096437	3055.599427994665	20.758946210676903	-31.45454665510983	654559.7158730752	974.6780951594234	671.5650214402449	2231.3193359375	333.3645258560847	68.76394551851138	25.77045991499262	20.481519089714826	21.136221638899887	19.826816540529766	23.25633132330733	0.9111299142227424	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773
aligned_coj1m003-fa19-20250503-0265-e91.fits.fz	6	135402.8125	60799.25308708334	2460799.2530870833	NaN	NaN	0	1.1054157	NaN	NaN	20.002	NaN	NaN	26.610334378107314	25	50	85	13.180800796775603	0.9417375489127578	0.2133442298309027	0.1933486328848976	0.2152870931104199	0.0080693165133213	0.0011174991390927	0.0003455827247431	0.0003271558979888	0.0003497291373507	1633.4469933129935	842.718813794671	617.34633867916	590.9984630370126	615.5823753812989	3694545.8449470187	2198.4159025653335	2007.412612754335	2066.9670896883044	2007.912612754335	2029.5329103116956	20.752464199933918	-31.341437707805174	48697072.81680166	1963.4954084936207	7008.784772761247	6948.005167180572	135402.8125	24801.215529279845	127.48672699502077	14844.025288211773	26.736961485723015	21.838301210011515	22.0235507922656	21.653051627757428	9.90260497514539	0.9821287909012996	2344.636646680192	1775.870913356569	2345.136646680192	2320.629086643431	20.755310501461874	-31.372899811754607	1791844.912467387	1440.4697386745263	1243.9309652670559	4991.63330078125	912.5791202343974	63.21813917098355	26.60364951726316	21.65625454197729	21.93096778406652	21.381541299888056	22.243979209135066	0.965053289184389	2706.588112269974	1950.9873206644736	2707.088112269974	2145.5126793355266	20.758364510815802	-31.353948229657508	649617.8236039677	964.1652550112228	673.7619098257239	1880.7841796875	330.8476407909452	61.81866257015177	26.618638478689473	21.61915986289428	21.77456668213962	21.463753043648936	35.434107478188935	0.957057311551973	2144.1710969798924	2544.045086691346	2144.6710969798924	1552.4549133086539	20.75361770753748	-31.289865112536532	598597.3994239997	937.0316125694737	638.823057188605	1693.1424560546875	304.8631521289063	61.5640892062427	27.005060603964942	21.947579140525676	21.89899547881843	21.996162802232917	77.98774504169003	0.9951645670328049	2738.5091837060936	1041.6378161981959	2739.0091837060936	3054.8621838018043	20.758639993426684	-31.45224598795631	654485.7094516642	974.9033442806973	671.3339463765575	2050.732421875	333.3268346951628	68.9947527599096	26.087361804895963	20.824646272212938	21.453694526080625	20.19559801834525	23.597576475717005	0.9147884157916087	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.495408493621	14844.025288211775	1963.4954084936207	14844.025288211773
aligned_coj1m003-fa19-20250503-0266-e91.fits.fz	7	142300.21875	60799.25361432275	2460799.2536143227	NaN	NaN	0	1.1039589	NaN	NaN	19.999	NaN	NaN	17.75433130263732	25	50	85	13.20010246511807	0.942432541990819	0.2131071486969746	0.1937103814142277	0.2148779146830034	0.0080793681785522	0.0011181421627396	0.0003452414503857	0.0003273452777807	0.0003493256688281	1633.803804134046	842.8557417794782	617.2698801343556	591.7616491293793	615.1220304075002	3693298.5758844917	2197.2391945110335	2007.3040130977736	2066.4208431285883	2007.8040130977736	2030.0791568714117	20.75280469866615	-31.343508306711932	48751919.63594993	1963.4954084936207	7012.666658423174	6951.9801825161885	142300.21875	24829.148784896854	127.29910044553998	14844.025288211773	26.86464872093623	21.841475785758533	21.959014732983267	21.723936838533803	343.70338254355283	0.9873062018976203	2344.57287904204	1775.2882973890455	2345.07287904204	2321.2117026109545	20.75564968334579	-31.375080145172365	1791920.5377575192	1440.1438867579543	1244.2649336876214	5286.8095703125	912.6176358783886	62.761923960809646	26.626675072371548	21.705513341572846	21.911966376695563	21.49906030645013	20.703485661580487	0.9749527815172259	2706.4569241150607	1950.4719238690375	2706.9569241150607	2146.0280761309623	20.75870940950542	-31.356177795756256	648803.6358855427	963.1484754110879	673.6278491315916	1979.34375	330.4329783909707	61.30343971319111	4.70530624226514	21.668588708435045	21.764140431101602	21.573036985768493	34.126376062773375	0.9764739599848544	2144.184021976054	2543.4432106522772	2144.684021976054	1553.0567893477228	20.75396842440917	-31.291915103170822	599333.2109281108	936.761590291019	639.792682727223	1809.0032958984375	305.2378978507084	61.00554541058861	4.729225401219802	21.957744947927267	21.832353211699413	22.083136684155118	290.52314284719296	0.9849695792170323	2738.3629437586783	1041.1809755401785	2738.8629437586783	3055.319024459822	20.758969950791492	-31.454582411944937	653241.1913133189	973.9960988617593	670.6815274483296	2073.920654296875	332.6930068120102	68.75923881385333	25.845801076393872	20.74039852178318	21.29842073362838	20.182376309937982	22.76815683597337	0.9259664520330286	1963.495408493621	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773
aligned_coj1m003-fa19-20250503-0267-e91.fits.fz	8	131812.40625	60799.25414063083	2460799.254140631	NaN	NaN	0	1.1025228	NaN	NaN	20.001	NaN	NaN	26.552905646814633	25	50	85	13.179881820951879	0.9443876114860966	0.2121256608132769	0.1939003435284122	0.2149023306168981	0.0080656200683508	0.0011203022795971	0.000344287779459	0.0003275713722109	0.0003491392040084	1634.0816588509167	842.9757117210399	616.1289289634458	591.9331174141382	615.5204805122256	3693886.7552203713	2197.1048499296085	2007.4261899493765	2066.9802094343695	2007.9261899493765	2029.5197905656305	20.752815717962687	-31.343837334135852	48684990.8937839	1963.4954084936207	7007.8745141002555	6947.183599795749	131812.40625	24795.06225641478	127.18227716276805	14844.025288211773	26.73235160453561	21.873387641951336	22.06805587924403	21.67871940465864	2.5856345315850944	0.9822859875109204	2344.595661169143	1775.8586895351955	2345.095661169143	2320.6413104648045	20.755662479719607	-31.375454242794362	1794118.0396620927	1440.6930708965745	1245.3159357152833	5094.5107421875	913.7368144082022	62.48511750067687	26.598275358971296	21.67330117662608	22.014029008644886	21.332573344607273	18.28901015393527	0.9615930262747965	2706.4397427560125	1951.0129705113022	2706.9397427560125	2145.4870294886978	20.758725805438285	-31.35654393667695	646441.3668091119	961.8918361627208	672.0520359003807	1945.2420654296875	329.229884629604	61.27788169251551	26.51771290113128	21.63405385270018	21.828156884503112	21.43995082089725	30.186841428117827	0.9643391061667449	2144.200852135024	2543.925390725421	2144.700852135024	1552.574609274579	20.753980991553295	-31.29219708730731	599921.0190990592	937.398626655879	639.9849562818822	1744.167236328125	305.5372660938964	61.27816438641508	26.973758819438107	21.98771361609351	21.972739838635015	22.00268739355201	298.75277972795095	0.9974678977632557	2738.374556070078	1041.7628416693092	2738.874556070078	3054.737158330691	20.758984804888804	-31.455058408215738	653406.3296501079	973.5096852738476	671.1862650511845	1992.0673828125	332.7771110763108	68.25886458412153	25.94242954999689	20.77250718733935	21.401189743332477	20.14382463134622	23.821457315772335	0.9139303196107021	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773
aligned_coj1m003-fa19-20250503-0268-e91.fits.fz	9	133589.640625	60799.25466997642	2460799.2546699764	NaN	NaN	0	1.1010872	NaN	NaN	19.998	NaN	NaN	26.717365949015196	25	50	85	13.19093658097752	0.9382302963772958	0.2132387466781161	0.1942580987439834	0.2158270192698372	0.0080798266930896	0.0011138016949649	0.0003456029715016	0.0003283752410429	0.0003505070484915	1632.5766729946367	842.3674524995513	617.0049573116589	591.5735246270544	615.7565737941316	3692768.532102297	2198.6161460706385	2007.635848675763	2066.3551269127756	2008.135848675763	2030.1448730872244	20.75246608333995	-31.3415038620893	48711075.51519085	1963.4954084936207	7009.822925042136	6948.973752414444	133589.640625	24808.34704500869	127.7344621225972	14844.025288211773	26.897785210521644	21.962515876739484	22.212791610122938	21.71224014335603	352.77632762421075	0.9767381142022757	2344.6991233816107	1775.3003502073122	2345.1991233816107	2321.1996497926875	20.755311030455466	-31.372961487292514	1787541.6150510209	1438.9478834164197	1242.2559813681041	4940.79150390625	910.3874688570877	63.18272128530999	26.754546482082493	21.871620390323145	22.19792896913846	21.545311811507826	10.72091034620869	0.9684474175695862	2706.767610837122	1950.5408062355048	2707.267610837122	2145.9591937644955	20.758366028460493	-31.353996483110876	649040.7067149135	963.8351672898536	673.3938838732244	1862.0015869140625	330.55371757291385	61.792000939378546	26.712477396643678	21.77613832401589	21.950185229639374	21.6020914183924	28.638968978668068	0.9708552707781034	2144.4200027384477	2543.430009650749	2144.9200027384477	1553.069990349251	20.753619807206153	-31.289931599318606	600665.9656754676	939.0632718125506	639.6437638499916	1809.6893310546875	305.91666426981567	62.3481049045244	27.16342396055139	22.063218438818154	22.06879904085267	22.057637836783634	316.8492529308075	0.9921882706846791	2738.5791711833085	1041.1660347112447	2739.0791711833085	3055.3339652887553	20.75864058783792	-31.45229698125811	655520.2446608954	975.9733031194869	671.657967042405	2041.243896484375	333.8537191506884	69.46831889299963	26.058596695276776	20.897340244277025	21.568269997669937	20.226410490884113	20.285948464777306	0.9188342236492975	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.495408493621	14844.025288211773	1963.4954084936207	14844.025288211773
aligned_coj1m003-fa19-20250503-0269-e91.fits.fz	10	136594.5625	60799.255207696464	2460799.2552076965	NaN	NaN	0	1.0996355	NaN	NaN	20.002	NaN	NaN	17.89410695515462	25	50	85	13.199216655210392	0.9444113062474202	0.2122011023405077	0.1929777912589194	0.2157739560590042	0.0080774146013317	0.0011203997109774	0.0003444703428781	0.0003267756882837	0.0003500895888387	1634.0892855783593	842.9235539730427	616.0213984388743	590.551250224438	616.3392541171144	3699203.5119557017	2200.4425081726245	2007.4473175936728	2066.5818179959783	2007.9473175936728	2029.9181820040217	20.752806102569004	-31.343201871954978	48826588.606018476	1963.4954084936207	7018.096026232532	6957.241454592872	136594.5625	24867.177379079218	127.97793109368969	14844.025288211773	4.895967028979982	21.79944256663825	21.953958290061717	21.644926843214776	358.9002046765209	0.9859133498503218	2344.693557705745	1775.480475391065	2345.193557705745	2321.019524608935	20.755640506812906	-31.374761536548192	1796723.5685043803	1442.3433507360583	1245.6975432288534	5087.375	915.0637993509816	63.453211740585985	26.79231472886053	21.70181687143696	21.98565798999766	21.417975752876263	19.449659065280944	0.9669402705298534	2706.6261141070995	1950.6320330154595	2707.1261141070995	2145.8679669845405	20.758696352560737	-31.35596972860174	647561.7465643728	963.7510206326748	671.9180916034384	1868.0286865234375	329.80048935341154	62.384269897749796	4.532329049644527	21.661479411095506	21.81313485605391	21.5098239661371	31.563632971110533	0.9694888865300288	2144.3580762331953	2543.617119400242	2144.8580762331953	1552.8828805997582	20.753974231693057	-31.291745844956754	598388.4430917411	937.6254551661154	638.195603366727	1720.7889404296875	304.7567315427645	62.158816369301704	27.025813687380897	21.90119561451686	21.85447789514425	21.947913333889463	297.04999520807104	0.9927506852016194	2738.611441488933	1041.2471699076839	2739.111441488933	3055.252830092316	20.758944148489547	-31.45417321443478	656529.7537952075	976.5425574006096	672.3001970777169	1972.5574951171875	334.3678579309194	69.51417635605473	26.224110280907176	20.84794622932081	21.479260878251658	20.216631580389965	22.249251758922938	0.9184785773735852	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773	1963.4954084936207	14844.025288211773
