time,flux,flux_err
3883.006786893713,1.037259817123413,60.97435760498047
3883.0081757921826,1.0378007888793945,60.98446273803711
3883.0095646911172,1.037249207496643,60.95920181274414
3883.010953589587,1.0371968746185303,60.949337005615234
3883.012342488056,1.0374112129211426,60.955604553222656
3883.0137313865253,1.037492036819458,60.94019317626953
3883.0151202849947,1.037282109260559,60.935325622558594
3883.016509183464,1.037876009941101,60.94074630737305
3883.017898081933,1.0377048254013062,60.930843353271484
3883.0192869804036,1.0372785329818726,60.91384506225586
3883.020675878874,1.0378165245056152,60.921363830566406
3883.022064777343,1.0378317832946777,60.917816162109375
3883.0234536758126,1.0384533405303955,60.91446304321289
3883.0248425747477,1.0381505489349365,60.90628433227539
3883.0262314732167,1.038025975227356,60.89717483520508
3883.0276203716858,1.0382535457611084,60.89371109008789
3883.0290092701557,1.0377657413482666,60.878997802734375
3883.0303981686247,1.0381208658218384,60.87941360473633
3883.0317870670942,1.0380100011825562,60.87724685668945
3883.0331759655637,1.0383639335632324,60.88636016845703
3883.0345648640327,1.0377272367477417,60.86661148071289
3883.0359537625027,1.037950038909912,60.86883544921875
3883.037342660973,1.0379266738891602,60.858211517333984
3883.0387315594426,1.0381776094436646,60.86063766479492
3883.040120457912,1.0384578704833984,60.859886169433594
3883.0415093563806,1.0386533737182617,60.8554573059082
3883.042898254851,1.038885474205017,60.852420806884766
3883.0442871533196,1.0393058061599731,60.8592529296875
3883.045676051789,1.0382263660430908,60.83699417114258
3883.0470649502586,1.0385487079620361,60.83202362060547
3883.048453848728,1.038964867591858,60.84069061279297
3883.0498427471966,1.0390785932540894,60.835262298583984
3883.051231645667,1.0388619899749756,60.82395935058594
3883.0526205441356,1.0390655994415283,60.82493591308594
3883.0540094426055,1.0391489267349243,60.814056396484375
3883.0553983410764,1.0391830205917358,60.81930923461914
3883.056787239546,1.0392311811447144,60.81019592285156
3883.058176138015,1.039202332496643,60.81169128417969
3883.059565036484,1.0392405986785889,60.81003952026367
3883.060953934954,1.0398483276367188,60.80946350097656
3883.062342833423,1.0394192934036255,60.810943603515625
3883.063731731892,1.03982675075531,60.80658721923828
3883.065120630362,1.0393027067184448,60.79292678833008
3883.066509528831,1.0394814014434814,60.79208755493164
3883.0678984273,1.0395091772079468,60.800498962402344
3883.0692873257694,1.039663553237915,60.7905158996582
3883.0706762242403,1.0392980575561523,60.785213470458984
3883.0720651227102,1.039747714996338,60.78927993774414
3883.073454021179,1.0397170782089233,60.779151916503906
3883.0748429191835,1.0399774312973022,60.779151916503906
3883.076231817652,1.040163516998291,60.78865051269531
3883.0776207161216,1.0404130220413208,60.786006927490234
3883.079009614591,1.0403856039047241,60.77934646606445
3883.0803985130606,1.040280818939209,60.77198028564453
3883.081787411529,1.0400187969207764,60.7635498046875
3883.0831763099995,1.0401338338851929,60.76667785644531
3883.084565208468,1.040723204612732,60.75593185424805
3883.0859541069376,1.0407618284225464,60.761043548583984
3883.087343005407,1.0405738353729248,60.757328033447266
3883.088731903412,1.0406720638275146,60.75284194946289
3883.0901208018818,1.0409497022628784,60.75078201293945
3883.091509700351,1.040746808052063,60.750938415527344
3883.0928985988203,1.040911316871643,60.747642517089844
3883.0942874972898,1.0411323308944702,60.7417106628418
3883.095676395759,1.0412297248840332,60.7421875
3883.0970652942287,1.0410758256912231,60.748382568359375
3883.098454192232,1.0414490699768066,60.7351188659668
3883.099843090701,1.0409469604492188,60.73428726196289
3883.1012319891706,1.0414886474609375,60.739078521728516
3883.10262088764,1.0412321090698242,60.7256965637207
3883.104009786109,1.0418730974197388,60.74059295654297
3883.1053986845795,1.0414358377456665,60.71190643310547
3883.1067875825847,1.0412942171096802,60.72203826904297
3883.1081764810533,1.041689395904541,60.71989440917969
3883.109565379523,1.0421022176742554,60.706546783447266
3883.1109542779923,1.041830062866211,60.7154426574707
3883.1123431764618,1.0408867597579956,60.684593200683594
3883.1137320744647,1.0411498546600342,60.70035171508789
3883.1151209729346,1.0417590141296387,60.69426345825195
3883.1165098714037,1.0416831970214844,60.69416427612305
3883.117898769873,1.0422418117523193,60.70450973510742
3883.119287667877,1.041761040687561,60.68241500854492
3883.1206765663464,1.0423178672790527,60.700897216796875
3883.122065464816,1.0413635969161987,60.675052642822266
3883.1234543632854,1.041901707649231,60.673927307128906
3883.12484326129,1.0418986082077026,60.675289154052734
3883.1262321597596,1.0422149896621704,60.67755126953125
3883.1276210582287,1.0421149730682373,60.664512634277344
3883.1290099566986,1.0425137281417847,60.6606330871582
3883.130398854702,1.0420712232589722,60.657318115234375
3883.131787753171,1.0419480800628662,60.6459846496582
3883.1331766516405,1.0419139862060547,60.648170471191406
3883.1345655496443,1.0422970056533813,60.63788986206055
3883.135954448113,1.0424154996871948,60.635986328125
3883.1373433465833,1.042833924293518,60.64103317260742
3883.138732245053,1.0424855947494507,60.634220123291016
3883.1401211430566,1.0427275896072388,60.623390197753906
3883.141510041527,1.0424365997314453,60.61437225341797
3883.1428989399965,1.0433073043823242,60.628971099853516
3883.144287838,1.0427814722061157,60.612178802490234
3883.145676736469,1.0432738065719604,60.609352111816406
3883.147065634939,1.0427584648132324,60.60309600830078
3883.148454532942,1.0429548025131226,60.598026275634766
3883.1498434314117,1.043351411819458,60.59011459350586
3883.1512323294155,1.042981505393982,60.582576751708984
3883.1526212278845,1.0436986684799194,60.59086990356445
3883.1540101263536,1.0432887077331543,60.566993713378906
3883.155399024358,1.0438258647918701,60.589115142822266
3883.156787922828,1.043682336807251,60.568565368652344
3883.1581768212973,1.0433422327041626,60.561065673828125
