time,flux,flux_err
60798.72039169865,13.486468914689011,0.011699552528604553
60799.38989471218,13.724360289855108,0.009770930127472585
60800.712824050956,14.52507578522374,0.013543124069252557
60802.15029434612,12.931029765968384,0.009711515806092084
60803.679013593915,13.510070778019385,0.010259258826445784
60805.782251166995,14.582541576478556,0.010635102647559132
60806.71291870647,13.321406683986213,0.011791180314160323
60807.78979433654,12.868895935181145,0.011000026632046881
60808.54252462473,13.587697397135964,0.011620256800635316
60810.584299264556,14.741507497990805,0.012202675172469526
60811.545271580144,13.468005466302314,0.012939001725077781
60812.923738934456,13.265947814408777,0.01313679414409064
60813.66488113589,13.865569812962844,0.019826986477974342
60815.670236771264,14.786890498021249,0.015330842700207318
60816.712669740045,13.038496592683847,0.010346536500364283
60819.76782549956,14.355025306915856,0.010570443960175651
60820.75980109799,14.525500169220331,0.009632077757942134
60823.75803869889,13.501843352565563,0.008831828660364416
60824.79369034137,14.622317098501638,0.010200842211959334
60826.514539766555,12.950142276258646,0.008643755953150352
60827.50434922831,13.443254607153293,0.008973148928856159
60828.58074190491,13.542740077943042,0.009154984558539483
60829.51800597653,14.36171062201899,0.009467789555948668
60831.58027163916,12.80668217660954,0.008843265245890458
60832.75441009932,13.32088794573435,0.009604297728392467
60837.65725183549,13.368439061142176,0.013734243157368384
60838.50774083907,13.661205671702689,0.01410430991106755
60839.6010036666,14.866563583298184,0.01422042338440232
60841.674466140954,12.887158134678382,0.015630448192575617
60842.540270406054,13.332449858927532,0.011748912394078334
60843.55976276806,13.765498359109676,0.011496039000855668
60845.698690780206,13.488987988781654,0.010187576294597865
60846.582905222895,12.944264044421933,0.008971884017629717
60847.66734397373,13.409359110238455,0.0096896153481244
60849.64292690484,14.927394340785161,0.011663873862391183
60850.519230826605,13.420712004667115,0.009299940151883516
60851.585089245345,13.015238034551384,0.008683472658914539
60853.0990145014,13.828919414164767,0.009641328772032798
60854.67865196662,14.690149706611924,0.009694184113089017
60855.52108185467,13.217791745658225,0.009243726242711667
